Programme,Department,Semester,Course Code,Sessions per Week
B.Tech.  ,ICT,5,ICT 3101,4
B.Tech.  ,ICT,5,ICT 3102,4
B.Tech.  ,ICT,5,ICT 3103,3
B.Tech.  ,ICT,7,ICT 4001,3
B.Tech.  ,ICT,5,ICT 4016,3
B.Tech.  ,ICT,5,ICT 4006,3
B.Tech.  ,ICT,5,ICT 3107,4
B.Tech.  ,HUM,7,HUM 4001,3
B.Tech.  ,ICT,7,ICT 4101,4
B.Tech.  ,ICT,7,ICT 4102,3
B.Tech.  ,ICT,7,ICT 4019,3
B.Tech.  ,ICT,7,ICT 4018,3
B.Tech.  ,ICT,7,ICT 4011,3
B.Tech.  ,ICT,7,ICT 4007,3
B.Tech.  ,HUM,7,HUM 4013,3
B.Tech.  ,ICT,7,ICT 4008,3
B.Tech.  ,ICT,7,ICT 4010,3
B.Tech.  ,ICT,7,ICT 4014,3
B.Tech.  ,MAT,3,MAT 2155,4
B.Tech.  ,ICT,3,ICT 2151,4
B.Tech.  ,ICT,3,ICT 2155,4
B.Tech.  ,ICT,3,ICT 2153,4
B.Tech.  ,ICT,3,ICT 2154,4
B.Tech.  ,MAT,3,MAT 2105,3
B.Tech.  ,HUM,7,HUM 4014,3
B.Tech.  ,ICT,5,ICT 4009,3
B.Tech.  ,ICT,3,ICT 2152,4
B.Tech.  ,ICT,7,ICT 4151,4
B.Tech.  ,ICT,5,ICT 3151,3
B.Tech.  ,ICT,5,ICT 3152,4
B.Tech.  ,ICT,5,ICT 3153,3
B.Tech.  ,ICT,5,ICT 3154,3
B.Tech.  ,ICT,5,ICT 3155,3
B.Tech.  ,ICT,7,DA 7,2
B.Tech.  ,ICT,3,DSM 3,1
B.Tech.  ,ICT,3,OOP 3,1
B.Tech.  ,ICT,3,DS 3,1
B.Tech.  ,ICT,5,ITT 5,1
B.Tech.  ,ICT,5,ES 5,1
B.Tech.  ,ICT,5,OS 5,1
B.Tech.  ,ICT,5,RUP 5,1
B.Tech.  ,ICT,5,DBS 5,1
B.Tech.  ,ICT,3,DSD 3,1
