Name, Abbreviation
Aeronautical & Automobile Engineering, AAE
Biomedical Engineering, BME
Biotechnology, BIO
Chemical Engineering, CHE
Civil Engineering, CIE
Computer Science & Engineering, CSE
Electronics & Communication Engineering, ECE
Electrical & Electronics Engineering, ELE
Information & Communication Technology, ICT
Instrumentation & Control Engineering, ICE
Mechanical & Manufacturing Engineering, MME
Mechatronics, MTE
Print & Media Engineering, PMT
Physics, PHY
Chemistry, CHM
Mathematics, MAT
Humanities & Management, HUM
Computer Applications, MCA
Computer Science & Information Security, CSIS
HSS, HSS
